timestamp,pressure,flow
2025-01-14T13:29:28.000Z,0.017,0.0
2025-01-14T13:29:29.000Z,0.017,0.0
2025-01-14T13:29:30.000Z,0.017,0.0
2025-01-14T13:29:31.000Z,0.017,0.0
2025-01-14T13:29:32.000Z,0.017,0.0
2025-01-14T13:29:33.000Z,0.017,0.0
2025-01-14T13:29:34.000Z,0.017,0.0
2025-01-14T13:29:35.000Z,0.017,0.0
2025-01-14T13:29:36.000Z,0.017,0.0
2025-01-14T13:29:37.000Z,0.017,0.0
2025-01-14T13:29:38.000Z,0.017,0.0
2025-01-14T13:29:39.000Z,0.017,0.0
2025-01-14T13:29:40.000Z,0.017,0.0
2025-01-14T13:29:41.000Z,0.017,0.0
2025-01-14T13:29:42.000Z,0.017,0.0
2025-01-14T13:29:43.000Z,0.017,0.0
2025-01-14T13:29:44.000Z,0.017,0.0
2025-01-14T13:29:45.000Z,0.017,0.0
2025-01-14T13:29:46.000Z,0.017,0.0
2025-01-14T13:29:47.000Z,0.017,0.0
2025-01-14T13:29:48.000Z,0.017,0.0
2025-01-14T13:29:49.000Z,0.017,0.0
2025-01-14T13:29:50.000Z,0.017,0.0
2025-01-14T13:29:51.000Z,0.017,0.0
2025-01-14T13:29:52.000Z,0.107,0.247
2025-01-14T13:29:53.000Z,0.166,0.707
2025-01-14T13:29:54.000Z,0.18,0.545
2025-01-14T13:29:55.000Z,0.194,0.495
2025-01-14T13:29:56.000Z,0.207,0.449
2025-01-14T13:29:57.000Z,0.225,0.389
2025-01-14T13:29:59.000Z,0.253,0.333
2025-01-14T13:30:00.000Z,0.27,0.237
2025-01-14T13:30:01.000Z,0.283,0.182
2025-01-14T13:30:02.000Z,0.287,0.146
2025-01-14T13:30:03.000Z,0.291,0.126
2025-01-14T13:30:04.000Z,0.292,0.116
2025-01-14T13:30:05.000Z,0.293,0.121
2025-01-14T13:30:06.000Z,0.295,0.111
2025-01-14T13:30:07.000Z,0.296,0.116
2025-01-14T13:30:08.000Z,0.3,0.111
2025-01-14T13:30:09.000Z,0.302,0.116
2025-01-14T13:30:10.000Z,0.303,0.111
2025-01-14T13:30:11.000Z,0.306,0.106
2025-01-14T13:30:12.000Z,0.309,0.101
2025-01-14T13:30:13.000Z,0.309,0.101
2025-01-14T13:30:14.000Z,0.304,0.101
2025-01-14T13:30:15.000Z,0.305,0.101
2025-01-14T13:30:16.000Z,0.306,0.096
2025-01-14T13:30:17.000Z,0.302,0.101
2025-01-14T13:30:18.000Z,0.306,0.101
2025-01-14T13:30:19.000Z,0.305,0.106
2025-01-14T13:30:20.000Z,0.305,0.101
2025-01-14T13:30:21.000Z,0.305,0.101
2025-01-14T13:30:22.000Z,0.304,0.101
2025-01-14T13:30:23.000Z,0.309,0.101
2025-01-14T13:30:24.000Z,0.307,0.101
2025-01-14T13:30:25.000Z,0.306,0.101
2025-01-14T13:30:26.000Z,0.309,0.101
2025-01-14T13:30:27.000Z,0.308,0.096
2025-01-14T13:30:28.000Z,0.311,0.101
2025-01-14T13:30:29.000Z,0.311,0.106
2025-01-14T13:30:30.000Z,0.308,0.101
2025-01-14T13:30:31.000Z,0.309,0.101
2025-01-14T13:30:32.000Z,0.308,0.096
2025-01-14T13:30:33.000Z,0.308,0.101
2025-01-14T13:30:34.000Z,0.305,0.101
2025-01-14T13:30:35.000Z,0.308,0.096
2025-01-14T13:30:36.000Z,0.305,0.101
2025-01-14T13:30:37.000Z,0.31,0.101
2025-01-14T13:30:38.000Z,0.302,0.096
2025-01-14T13:30:39.000Z,0.3,0.106
2025-01-14T13:30:40.000Z,0.3,0.101
2025-01-14T13:30:41.000Z,0.305,0.096
2025-01-14T13:30:42.000Z,0.304,0.096
2025-01-14T13:30:43.000Z,0.299,0.101
2025-01-14T13:30:44.000Z,0.295,0.101
2025-01-14T13:30:45.000Z,0.294,0.096
2025-01-14T13:30:46.000Z,0.295,0.096
2025-01-14T13:30:47.000Z,0.305,0.101
2025-01-14T13:30:48.000Z,0.304,0.096
2025-01-14T13:30:49.000Z,0.302,0.106
2025-01-14T13:30:50.000Z,0.302,0.101
2025-01-14T13:30:51.000Z,0.298,0.096
2025-01-14T13:30:52.000Z,0.295,0.096
2025-01-14T13:30:53.000Z,0.298,0.101
2025-01-14T13:30:54.000Z,0.297,0.101
2025-01-14T13:30:55.000Z,0.3,0.096
2025-01-14T13:30:56.000Z,0.3,0.101
2025-01-14T13:30:57.000Z,0.301,0.096
2025-01-14T13:30:58.000Z,0.297,0.096
2025-01-14T13:30:59.000Z,0.301,0.106
2025-01-14T13:31:00.000Z,0.297,0.096
2025-01-14T13:31:01.000Z,0.297,0.101
2025-01-14T13:31:02.000Z,0.304,0.096
2025-01-14T13:31:03.000Z,0.303,0.101
2025-01-14T13:31:04.000Z,0.298,0.096
2025-01-14T13:31:05.000Z,0.297,0.096
2025-01-14T13:31:06.000Z,0.297,0.096
2025-01-14T13:31:07.000Z,0.297,0.096
2025-01-14T13:31:08.000Z,0.302,0.101
2025-01-14T13:31:09.000Z,0.303,0.101
2025-01-14T13:31:10.000Z,0.3,0.101
2025-01-14T13:31:11.000Z,0.303,0.096
2025-01-14T13:31:12.000Z,0.305,0.101
2025-01-14T13:31:13.000Z,0.305,0.096
2025-01-14T13:31:14.000Z,0.304,0.101
2025-01-14T13:31:15.000Z,0.304,0.101
2025-01-14T13:31:16.000Z,0.301,0.096
2025-01-14T13:31:17.000Z,0.301,0.096
2025-01-14T13:31:18.000Z,0.3,0.101
2025-01-14T13:31:19.000Z,0.304,0.101
2025-01-14T13:31:20.000Z,0.302,0.096
2025-01-14T13:31:21.000Z,0.302,0.096
2025-01-14T13:31:22.000Z,0.303,0.101
2025-01-14T13:31:23.000Z,0.3,0.096
2025-01-14T13:31:24.000Z,0.303,0.096
2025-01-14T13:31:25.000Z,0.3,0.101
2025-01-14T13:31:26.000Z,0.304,0.096
2025-01-14T13:31:27.000Z,0.3,0.096
2025-01-14T13:31:28.000Z,0.3,0.101
2025-01-14T13:31:29.000Z,0.303,0.101
2025-01-14T13:31:30.000Z,0.302,0.101
2025-01-14T13:31:31.000Z,0.302,0.101
2025-01-14T13:31:32.000Z,0.305,0.096
2025-01-14T13:31:33.000Z,0.302,0.101
2025-01-14T13:31:34.000Z,0.305,0.101
2025-01-14T13:31:35.000Z,0.306,0.096
2025-01-14T13:31:36.000Z,0.306,0.096
2025-01-14T13:31:37.000Z,0.302,0.096
2025-01-14T13:31:38.000Z,0.307,0.101
2025-01-14T13:31:39.000Z,0.305,0.106
2025-01-14T13:31:40.000Z,0.305,0.096
2025-01-14T13:31:41.000Z,0.296,0.101
2025-01-14T13:31:42.000Z,0.297,0.096
2025-01-14T13:31:43.000Z,0.292,0.096
2025-01-14T13:31:44.000Z,0.301,0.096
2025-01-14T13:31:45.000Z,0.295,0.096
2025-01-14T13:31:46.000Z,0.292,0.101
2025-01-14T13:31:47.000Z,0.3,0.096
2025-01-14T13:31:48.000Z,0.301,0.096
2025-01-14T13:31:49.000Z,0.299,0.106
2025-01-14T13:31:50.000Z,0.298,0.096
2025-01-14T13:31:51.000Z,0.297,0.096
2025-01-14T13:31:52.000Z,0.298,0.096
